kappa,concentration,mu,monotonicity,seed,face_value,outside_mid_ratio,big_entity_share,delta_passive,delta_active,trading_effect,trading_relief_ratio,phi_passive,phi_active,passive_run_id,passive_status,active_run_id,active_status,dealer_total_pnl,dealer_total_return,total_trades
1,2,0,0,107,20,1.0,0.25,0.6940925456727563675156687558,0.6940925456727563675156687558,0E-28,0,0.3059074543272436324843312442,0.3059074543272436324843312442,balanced_passive_61b95a1753d8,completed,balanced_active_402364c3f1a8,completed,0.0,0.0,4
1,2,0.25,0,108,20,1.0,0.25,1,0.7322797892911915716476628659,0.2677202107088084283523371341,0.2677202107088084283523371341,0,0.2677202107088084283523371341,balanced_passive_fd15bec69dbe,completed,balanced_active_f53492bc0d3e,completed,0.0,0.0,6
1,2,0.5,0,109,20,1.0,0.25,0.8451793572476330177356980931,0.8118415788771836244832644353,0.0333377783704493932524336578,0.03944461975386557273587882610,0.1548206427523669822643019069,0.1881584211228163755167355647,balanced_passive_7315d7536fa4,completed,balanced_active_79d987836579,completed,0.0,0.0,6
1,2,0.75,0,110,20,1.0,0.25,1,0.7584850303394012135760485430,0.2415149696605987864239514570,0.2415149696605987864239514570,0,0.2415149696605987864239514570,balanced_passive_c6ddae135787,completed,balanced_active_835f719aeb6f,completed,0.0,0.0,6
1,2,1,0,111,20,1.0,0.25,0.7360805494432219777288791092,0.8889777955591118223644728946,-0.1528972461158898446355937854,-0.2077180904067397409185614639,0.2639194505567780222711208908,0.1110222044408881776355271054,balanced_passive_164b56a5f570,completed,balanced_active_b166aa886510,completed,0.0,0.0,6
1,5,0,0,112,20,1.0,0.25,0,0.1000133351113481797573009735,-0.1000133351113481797573009735,0,1,0.8999866648886518202426990265,balanced_passive_840e42d7c2e2,completed,balanced_active_698304480a33,completed,0.0,0.0,5
1,5,0.25,0,113,20,1.0,0.25,1,0.8249099879983997866382184291,0.1750900120016002133617815709,0.1750900120016002133617815709,0,0.1750900120016002133617815709,balanced_passive_eee9807b818f,completed,balanced_active_efd4ac19050b,completed,0.0,0.0,5
1,5,0.5,0,114,20,1.0,0.25,1,0.7793039071876250166688891852,0.2206960928123749833311108148,0.2206960928123749833311108148,0,0.2206960928123749833311108148,balanced_passive_378f167e5afb,completed,balanced_active_8dc1c786a4e6,completed,0.0,0.0,5
1,5,0.75,0,115,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_3923fdf61b24,completed,balanced_active_ab4f2f80fed3,completed,0.0,0.0,6
1,5,1,0,116,20,1.0,0.25,1,0.7869049206560874783304440592,0.2130950793439125216695559408,0.2130950793439125216695559408,0,0.2130950793439125216695559408,balanced_passive_1ecff0129119,completed,balanced_active_166c81136995,completed,0.0,0.0,6
2,0.2,0,0,117,20,1.0,0.25,0.9902647196105887844235513769,0.9902647196105887844235513769,0E-28,0,0.009735280389411215576448623058,0.009735280389411215576448623058,balanced_passive_b54eb59d9c12,completed,balanced_active_65309a45d41a,completed,0.0,0.0,5
2,0.2,0.25,0,118,20,1.0,0.25,0.9666622216295506067475663422,0.9666622216295506067475663422,0E-28,0,0.03333777837044939325243365782,0.03333777837044939325243365782,balanced_passive_417f1e2578ac,completed,balanced_active_10b1115b990f,completed,0.0,0.0,6
2,0.2,0.5,0,119,20,1.0,0.25,0.9203173968126958725078349003,0.8869773954790958191638327666,0.0333400013336000533440021337,0.03622663382118533545862918411,0.07968260318730412749216509969,0.1130226045209041808361672334,balanced_passive_09793b8c5f87,completed,balanced_active_5fbfb18a7f3d,completed,0.0,0.0,6
2,0.2,0.75,0,120,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_8474dfddf8f0,completed,balanced_active_c2285c796306,completed,0.0,0.0,2
2,0.2,1,0,121,20,1.0,0.25,0.9270520770820830832833233313,1,-0.0729479229179169167166766687,-0.07868805293821477378982953323,0.07294792291791691671667666867,0,balanced_passive_acbfb43cd23a,completed,balanced_active_abe135938b38,completed,0.0,0.0,5
2,0.5,0,0,122,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_96565567745a,completed,balanced_active_04be49f25aa4,completed,0.0,0.0,4
2,0.5,0.25,0,123,20,1.0,0.25,0.9383251100146686224829977330,0.9383251100146686224829977330,0E-28,0,0.06167488998533137751700226697,0.06167488998533137751700226697,balanced_passive_5fb76f9589ab,completed,balanced_active_25ae6555423f,completed,0.0,0.0,6
2,0.5,0.5,0,124,20,1.0,0.25,0.8949123157964926318597052744,0.8949123157964926318597052744,0E-28,0,0.1050876842035073681402947256,0.1050876842035073681402947256,balanced_passive_8a907d1f3b9b,completed,balanced_active_a161d3f7de61,completed,0.0,0.0,4
2,0.5,0.75,0,125,20,1.0,0.25,1,0.7246966262168289105214028537,0.2753033737831710894785971463,0.2753033737831710894785971463,0,0.2753033737831710894785971463,balanced_passive_fb55d98f1e85,completed,balanced_active_9d42d2379c61,completed,0.0,0.0,6
2,0.5,1,0,126,20,1.0,0.25,1,0.8190425390052006934257901053,0.1809574609947993065742098947,0.1809574609947993065742098947,0,0.1809574609947993065742098947,balanced_passive_dda3b97ad8d4,completed,balanced_active_446b507b8e32,completed,0.0,0.0,6
