strategy,kappa,concentration,mu,outside_mid_ratio,total_face,default_face,default_rate,runs_using_strategy,mean_trading_effect
hold_to_maturity,0.25,1.0,0.75,1.0,0.0,0.0,0.0,0,0.0
sell_before,0.25,1.0,0.75,1.0,0.0,0.0,0.0,0,0.0
round_trip,0.25,1.0,0.75,1.0,0.0,0.0,0.0,0,0.0
no_trade,0.25,1.0,1.0,0.5,14996.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,1.0,1.0,0.5,0.0,0.0,0.0,0,0.0
sell_before,0.25,1.0,1.0,0.5,0.0,0.0,0.0,0,0.0
round_trip,0.25,1.0,1.0,0.5,0.0,0.0,0.0,0,0.0
no_trade,0.25,1.0,1.0,0.75,14998.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,1.0,1.0,0.75,0.0,0.0,0.0,0,0.0
sell_before,0.25,1.0,1.0,0.75,0.0,0.0,0.0,0,0.0
round_trip,0.25,1.0,1.0,0.75,0.0,0.0,0.0,0,0.0
no_trade,0.25,1.0,1.0,0.8,14997.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,1.0,1.0,0.8,0.0,0.0,0.0,0,0.0
sell_before,0.25,1.0,1.0,0.8,0.0,0.0,0.0,0,0.0
round_trip,0.25,1.0,1.0,0.8,0.0,0.0,0.0,0,0.0
no_trade,0.25,1.0,1.0,0.9,14997.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,1.0,1.0,0.9,0.0,0.0,0.0,0,0.0
sell_before,0.25,1.0,1.0,0.9,0.0,0.0,0.0,0,0.0
round_trip,0.25,1.0,1.0,0.9,0.0,0.0,0.0,0,0.0
no_trade,0.25,1.0,1.0,1.0,14998.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0
sell_before,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0
round_trip,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0
no_trade,0.25,2.0,0.0,0.5,14997.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,2.0,0.0,0.5,0.0,0.0,0.0,0,0.0
sell_before,0.25,2.0,0.0,0.5,0.0,0.0,0.0,0,0.0
round_trip,0.25,2.0,0.0,0.5,0.0,0.0,0.0,0,0.0
no_trade,0.25,2.0,0.0,0.75,14996.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,2.0,0.0,0.75,0.0,0.0,0.0,0,0.0
sell_before,0.25,2.0,0.0,0.75,0.0,0.0,0.0,0,0.0
round_trip,0.25,2.0,0.0,0.75,0.0,0.0,0.0,0,0.0
no_trade,0.25,2.0,0.0,0.8,14998.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,2.0,0.0,0.8,0.0,0.0,0.0,0,0.0
sell_before,0.25,2.0,0.0,0.8,0.0,0.0,0.0,0,0.0
round_trip,0.25,2.0,0.0,0.8,0.0,0.0,0.0,0,0.0
no_trade,0.25,2.0,0.0,0.9,14998.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,2.0,0.0,0.9,0.0,0.0,0.0,0,0.0
sell_before,0.25,2.0,0.0,0.9,0.0,0.0,0.0,0,0.0
round_trip,0.25,2.0,0.0,0.9,0.0,0.0,0.0,0,0.0
no_trade,0.25,2.0,0.0,1.0,14998.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,2.0,0.0,1.0,0.0,0.0,0.0,0,0.0
sell_before,0.25,2.0,0.0,1.0,0.0,0.0,0.0,0,0.0
round_trip,0.25,2.0,0.0,1.0,0.0,0.0,0.0,0,0.0
no_trade,0.25,2.0,0.25,0.5,14996.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,2.0,0.25,0.5,0.0,0.0,0.0,0,0.0
sell_before,0.25,2.0,0.25,0.5,0.0,0.0,0.0,0,0.0
round_trip,0.25,2.0,0.25,0.5,0.0,0.0,0.0,0,0.0
no_trade,0.25,2.0,0.25,0.75,14997.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,2.0,0.25,0.75,0.0,0.0,0.0,0,0.0
sell_before,0.25,2.0,0.25,0.75,0.0,0.0,0.0,0,0.0
round_trip,0.25,2.0,0.25,0.75,0.0,0.0,0.0,0,0.0
no_trade,0.25,2.0,0.25,0.8,14998.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,2.0,0.25,0.8,0.0,0.0,0.0,0,0.0
sell_before,0.25,2.0,0.25,0.8,0.0,0.0,0.0,0,0.0
round_trip,0.25,2.0,0.25,0.8,0.0,0.0,0.0,0,0.0
no_trade,0.25,2.0,0.25,0.9,14997.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,2.0,0.25,0.9,0.0,0.0,0.0,0,0.0
sell_before,0.25,2.0,0.25,0.9,0.0,0.0,0.0,0,0.0
round_trip,0.25,2.0,0.25,0.9,0.0,0.0,0.0,0,0.0
no_trade,0.25,2.0,0.25,1.0,14997.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,2.0,0.25,1.0,0.0,0.0,0.0,0,0.0
