run_id,kappa,concentration,mu,outside_mid_ratio,seed,face_value,delta_passive,delta_active,trading_effect,trading_relief_ratio,total_liabilities,total_face_value,default_count_total,default_face_total,default_rate_total,count_no_trade,face_no_trade,default_count_no_trade,default_face_no_trade,default_rate_no_trade,count_hold_to_maturity,face_hold_to_maturity,default_count_hold_to_maturity,default_face_hold_to_maturity,default_rate_hold_to_maturity,count_sell_before,face_sell_before,default_count_sell_before,default_face_sell_before,default_rate_sell_before,count_round_trip,face_round_trip,default_count_round_trip,default_face_round_trip,default_rate_round_trip
balanced_active_8b97836f0e97,0.5,0.5,0.0,1.0,72,20,0.9987998399786638,0.9987998399786638,0.0,0.0,10,14998.0,9,14980.0,0.9987998399786638,6,3752.0,5,3734.0,0.9952025586353944,2,1535.0,2,1535.0,1.0,2,9711.0,2,9711.0,1.0,0,0.0,0,0.0,0.0
balanced_active_27e973f6f645,0.5,0.5,0.25,1.0,73,20,0.0,0.0,0.0,0.0,10,14998.0,0,0.0,0.0,10,14998.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_7f866ff40814,0.5,0.5,0.5,1.0,74,20,0.3309995332399813,0.3309995332399813,0.0,0.0,6,10533.0,1,500.0,0.04746985664103295,4,5370.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,5163.0,1,500.0,0.0968429207824908,0,0.0,0,0.0,0.0
balanced_active_49ab2938456e,0.5,0.5,0.75,1.0,75,20,0.7234297906387518,0.7234297906387518,0.0,0.0,8,12561.0,2,8413.0,0.669771515006767,4,3633.0,0,0.0,0.0,2,515.0,0,0.0,0.0,2,8413.0,2,8413.0,1.0,0,0.0,0,0.0,0.0
balanced_active_54d69771c899,0.5,0.5,1.0,1.0,76,20,0.7924918316996732,0.885377075415083,-0.0928852437154097,-0.1172065628944047,2,2219.0,1,500.0,0.22532672374943669,0,0.0,0,0.0,0.0,2,2219.0,1,500.0,0.22532672374943669,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_0c8af724fde4,0.5,1.0,0.0,1.0,77,20,0.0,0.1667000066680002,-0.1667000066680002,0.0,10,14997.0,5,2500.0,0.16670000666800028,6,3897.0,3,1500.0,0.3849114703618168,0,0.0,0,0.0,0.0,4,11100.0,2,1000.0,0.09009009009009009,0,0.0,0,0.0,0.0
balanced_active_4591892d4df7,0.5,1.0,0.25,1.0,78,20,0.9525936791572208,1.0,-0.047406320842779,-0.0497655211031007,2,711.0,2,711.0,1.0,0,0.0,0,0.0,0.0,2,711.0,2,711.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_7f8fa2e5029e,0.5,1.0,0.5,1.0,79,20,0.8056815150706855,0.8056815150706855,0.0,0.0,4,10033.0,2,7119.0,0.7095584570915977,0,0.0,0,0.0,0.0,2,2914.0,0,0.0,0.0,2,7119.0,2,7119.0,1.0,0,0.0,0,0.0,0.0
balanced_active_95f07c1c1380,0.5,1.0,0.75,1.0,80,20,0.6827365473094618,0.8911115556444622,-0.2083750083350003,-0.3052055864830549,2,2133.0,1,500.0,0.23441162681669012,0,0.0,0,0.0,0.0,2,2133.0,1,500.0,0.23441162681669012,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_072f344efb14,0.5,1.0,1.0,1.0,81,20,0.6860038674401546,0.0,0.6860038674401546,1.0,10,14997.0,0,0.0,0.0,6,7186.0,0,0.0,0.0,2,2211.0,0,0.0,0.0,2,5600.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_b1ebd57b453c,0.5,2.0,0.0,1.0,82,20,0.0,0.9537271636218162,-0.9537271636218162,0.0,10,14998.0,9,14304.0,0.9537271636218162,6,7534.0,5,6840.0,0.9078842580302628,2,2459.0,2,2459.0,1.0,2,5005.0,2,5005.0,1.0,0,0.0,0,0.0,0.0
balanced_active_ebb6d946eb42,0.5,2.0,0.25,1.0,83,20,0.0,0.0,0.0,0.0,10,14998.0,0,0.0,0.0,6,7451.0,0,0.0,0.0,2,1510.0,0,0.0,0.0,2,6037.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_c46834bbe94f,0.5,2.0,0.5,1.0,84,20,0.0,0.0,0.0,0.0,10,14997.0,0,0.0,0.0,10,14997.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_68954c3534dc,0.5,2.0,0.75,1.0,85,20,0.5306040805440725,0.1491532204293905,0.3814508601146819,0.7188992209097763,8,13261.0,1,500.0,0.03770454716838851,4,5707.0,0,0.0,0.0,2,1333.0,0,0.0,0.0,2,6221.0,1,500.0,0.08037293039704227,0,0.0,0,0.0,0.0
balanced_active_92c54b0d2c57,0.5,2.0,1.0,1.0,86,20,1.0,0.0,1.0,1.0,10,14997.0,0,0.0,0.0,6,7100.0,0,0.0,0.0,2,1230.0,0,0.0,0.0,2,6667.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_c1af9b13ea7c,0.5,5.0,0.0,1.0,87,20,0.0,0.0,0.0,0.0,10,14998.0,0,0.0,0.0,10,14998.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_29d6b00be78e,0.5,5.0,0.25,1.0,88,20,0.0,0.0,0.0,0.0,10,14998.0,0,0.0,0.0,10,14998.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_d6aa1204c059,0.5,5.0,0.5,1.0,89,20,0.0,0.0,0.0,0.0,10,14997.0,0,0.0,0.0,10,14997.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_1c8d262472a3,0.5,5.0,0.75,1.0,90,20,0.0,0.0,0.0,0.0,10,14998.0,0,0.0,0.0,10,14998.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_c37a30284d99,0.5,5.0,1.0,1.0,91,20,0.0,0.0,0.0,0.0,10,14998.0,0,0.0,0.0,10,14998.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_8f88620c45fd,1.0,0.2,0.0,1.0,92,20,0.8282437658354447,0.8282437658354447,0.0,0.0,10,14998.0,8,12422.0,0.8282437658354447,2,1005.0,1,500.0,0.4975124378109453,0,0.0,0,0.0,0.0,8,13993.0,7,11922.0,0.8519974272850711,0,0.0,0,0.0,0.0
balanced_active_7c4a44fe6f1a,1.0,0.2,0.25,1.0,93,20,0.8979197226296839,0.9665288705160688,-0.0686091478863848,-0.0764089997772332,2,502.0,0,0.0,0.0,2,502.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_67458dcd4046,1.0,0.2,0.5,1.0,94,20,0.8246432857714361,0.8246432857714361,0.0,0.0,10,14998.0,2,12368.0,0.8246432857714362,6,2109.0,0,0.0,0.0,2,521.0,0,0.0,0.0,2,12368.0,2,12368.0,1.0,0,0.0,0,0.0,0.0
balanced_active_2c337bc73acb,1.0,0.2,0.75,1.0,95,20,1.0,1.0,0.0,0.0,2,9540.0,2,9540.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,9540.0,2,9540.0,1.0,0,0.0,0,0.0,0.0
balanced_active_84e498f62eef,1.0,0.2,1.0,1.0,96,20,0.7427657020936124,1.0,-0.2572342979063875,-0.3463195691202872,2,1124.0,2,1124.0,1.0,0,0.0,0,0.0,0.0,2,1124.0,2,1124.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_1785dc6acd68,1.0,0.5,0.0,1.0,97,20,0.8209761301506867,0.8209761301506867,0.0,0.0,10,14998.0,8,12313.0,0.8209761301506867,6,4308.0,5,4017.0,0.9324512534818942,0,0.0,0,0.0,0.0,4,10690.0,3,8296.0,0.7760523854069223,0,0.0,0,0.0,0.0
balanced_active_e750f23c5761,1.0,0.5,0.25,1.0,98,20,0.363581810908121,1.0,-0.6364181890918789,-1.750412616908124,2,1812.0,2,1812.0,1.0,0,0.0,0,0.0,0.0,2,1812.0,2,1812.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_5302a6b4a161,1.0,0.5,0.5,1.0,99,20,0.9437258301106815,0.9437258301106815,0.0,0.0,2,844.0,0,0.0,0.0,2,844.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_3d7e09920795,1.0,0.5,0.75,1.0,100,20,1.0,1.0,0.0,0.0,2,3770.0,2,3770.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,3770.0,2,3770.0,1.0,0,0.0,0,0.0,0.0
balanced_active_23bfd8574324,1.0,0.5,1.0,1.0,101,20,1.0,0.7031406281256251,0.2968593718743748,0.2968593718743748,2,4452.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,4452.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_8c0016950ce3,1.0,1.0,0.0,1.0,102,20,0.96165899846636,0.96165899846636,0.0,0.0,10,14997.0,9,14422.0,0.9616589984663599,2,1075.0,1,500.0,0.46511627906976744,2,1166.0,2,1166.0,1.0,6,12756.0,6,12756.0,1.0,0,0.0,0,0.0,0.0
balanced_active_b78be3982600,1.0,1.0,0.25,1.0,103,20,0.4738631817575676,0.8972529670622749,-0.4233897853047072,-0.893485296186858,2,1541.0,0,0.0,0.0,2,1541.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_75ff99206c97,1.0,1.0,0.5,1.0,104,20,1.0,0.7304486965797719,0.269551303420228,0.269551303420228,2,4043.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,4043.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_d3cd7ed0942c,1.0,1.0,0.75,1.0,105,20,0.8441021537640861,0.9189837967593518,-0.0748816429952657,-0.0887115885930958,4,2338.0,2,1123.0,0.4803250641573995,2,1215.0,0,0.0,0.0,2,1123.0,2,1123.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_a7b65165eff2,1.0,1.0,1.0,1.0,106,20,1.0,0.7297459491898379,0.270254050810162,0.270254050810162,2,4053.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,4053.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_402364c3f1a8,1.0,2.0,0.0,1.0,107,20,0.6940925456727562,0.6940925456727562,0.0,0.0,10,14998.0,7,10410.0,0.6940925456727564,2,1814.0,1,500.0,0.2756339581036384,2,1369.0,1,500.0,0.36523009495982467,6,11815.0,5,9410.0,0.7964451967837495,0,0.0,0,0.0,0.0
balanced_active_f53492bc0d3e,1.0,2.0,0.25,1.0,108,20,1.0,0.7322797892911915,0.2677202107088084,0.2677202107088084,2,4015.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,4015.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_79d987836579,1.0,2.0,0.5,1.0,109,20,0.845179357247633,0.8118415788771836,0.0333377783704493,0.0394446197538655,2,2822.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,2822.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_835f719aeb6f,1.0,2.0,0.75,1.0,110,20,1.0,0.7584850303394012,0.2415149696605987,0.2415149696605987,2,3622.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,3622.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_b166aa886510,1.0,2.0,1.0,1.0,111,20,0.7360805494432219,0.8889777955591118,-0.1528972461158898,-0.2077180904067397,2,1665.0,0,0.0,0.0,2,1665.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_698304480a33,1.0,5.0,0.0,1.0,112,20,0.0,0.1000133351113481,-0.1000133351113481,0.0,10,14998.0,3,1500.0,0.10001333511134818,2,1754.0,1,500.0,0.28506271379703535,0,0.0,0,0.0,0.0,8,13244.0,2,1000.0,0.07550588945937783,0,0.0,0,0.0,0.0
balanced_active_efd4ac19050b,1.0,5.0,0.25,1.0,113,20,1.0,0.8249099879983997,0.1750900120016002,0.1750900120016002,2,3126.0,1,500.0,0.1599488163787588,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,3126.0,1,500.0,0.1599488163787588,0,0.0,0,0.0,0.0
balanced_active_8dc1c786a4e6,1.0,5.0,0.5,1.0,114,20,1.0,0.779303907187625,0.2206960928123749,0.2206960928123749,2,3310.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,3310.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_ab4f2f80fed3,1.0,5.0,0.75,1.0,115,20,1.0,1.0,0.0,0.0,2,4367.0,2,4367.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,4367.0,2,4367.0,1.0,0,0.0,0,0.0,0.0
balanced_active_166c81136995,1.0,5.0,1.0,1.0,116,20,1.0,0.7869049206560874,0.2130950793439125,0.2130950793439125,2,3196.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,3196.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_65309a45d41a,2.0,0.2,0.0,1.0,117,20,0.9902647196105888,0.9902647196105888,0.0,0.0,10,14997.0,9,14851.0,0.9902647196105888,2,646.0,1,500.0,0.7739938080495357,0,0.0,0,0.0,0.0,8,14351.0,8,14351.0,1.0,0,0.0,0,0.0,0.0
balanced_active_10b1115b990f,2.0,0.2,0.25,1.0,118,20,0.9666622216295506,0.9666622216295506,0.0,0.0,2,500.0,0,0.0,0.0,2,500.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_5fbfb18a7f3d,2.0,0.2,0.5,1.0,119,20,0.9203173968126958,0.8869773954790958,0.0333400013336,0.0362266338211853,2,1695.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,1695.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_c2285c796306,2.0,0.2,0.75,1.0,120,20,1.0,1.0,0.0,0.0,2,12500.0,2,12500.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,12500.0,2,12500.0,1.0,0,0.0,0,0.0,0.0
